id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,color_response,occupation,sound_tested,color_target,sound_response,sound_score,figure_response,position_response,position_score,position_tested,color_score,sound_target,color_tested,timestamp,position_target,figure_target,figure_score,simulate,figure_tested
canadagaas,female,,training_transfer,practice,p1,1,1,1,5,white,circle,,,Studerende,0,,,,,0,1,1,,,0,1554807577220,0,,,no,0
canadagaas,female,,training_transfer,practice,p1,1,1,2,5,white,circle,,,Studerende,0,,,,,1,1,1,,,0,1554807579811,1,,,no,0
canadagaas,female,,training_transfer,practice,p1,1,1,3,4,white,circle,,,Studerende,0,,,,,0,1,1,,,0,1554807582386,0,,,no,0
canadagaas,female,,training_transfer,practice,p1,1,1,4,7,white,circle,,,Studerende,0,,,,,0,1,1,,,0,1554807584953,0,,,no,0
canadagaas,female,,training_transfer,practice,p1,1,1,5,7,white,circle,,,Studerende,0,,,,,1,1,1,,,0,1554807587530,1,,,no,0
canadagaas,female,,training_transfer,practice,p1,1,1,6,2,white,circle,,,Studerende,0,,,,,0,1,1,,,0,1554807590105,0,,,no,0
canadagaas,female,,training_transfer,practice,p1,1,1,7,7,white,circle,,,Studerende,0,,,,,0,1,1,,,0,1554807592671,0,,,no,0
canadagaas,female,,training_transfer,practice,p1,1,1,8,3,white,circle,,,Studerende,0,,,,,0,1,1,,,0,1554807595237,0,,,no,0
canadagaas,female,,training_transfer,practice,p1,1,1,9,6,white,circle,,,Studerende,0,,,,,0,1,1,,,0,1554807597823,0,,,no,0
canadagaas,female,,training_transfer,practice,p1,1,1,10,5,white,circle,,,Studerende,0,,,,,0,1,1,,,0,1554807600406,0,,,no,0
canadagaas,female,,training_transfer,practice,p1,1,1,11,5,white,circle,,,Studerende,0,,,,,1,1,1,,,0,1554807603007,1,,,no,0
canadagaas,female,,training_transfer,practice,p1,1,1,12,5,white,circle,,,Studerende,0,,,,,1,1,1,,,0,1554807605605,1,,,no,0
canadagaas,female,,training_transfer,practice,p1,1,1,13,0,white,circle,,,Studerende,0,,,,,0,1,1,,,0,1554807608188,0,,,no,0
canadagaas,female,,training_transfer,practice,p1,1,1,14,8,white,circle,,,Studerende,0,,,,,0,1,1,,,0,1554807610772,0,,,no,0
canadagaas,female,,training_transfer,practice,p1,1,1,15,8,white,circle,,,Studerende,0,,,,,1,1,1,,,0,1554807613372,1,,,no,0
canadagaas,female,,training_transfer,practice,p1,1,1,16,6,white,circle,,,Studerende,0,,,,,0,1,1,,,0,1554807615938,0,,,no,0
canadagaas,female,,training_transfer,practice,p1,1,1,17,2,white,circle,,,Studerende,0,,,,,0,1,1,,,0,1554807618524,0,,,no,0
canadagaas,female,,training_transfer,practice,p1,1,1,18,4,white,circle,,,Studerende,0,,,,,0,1,1,,,0,1554807621108,0,,,no,0
canadagaas,female,,training_transfer,practice,p1,1,1,19,3,white,circle,,,Studerende,0,,,,,0,1,1,,,0,1554807623691,0,,,no,0
canadagaas,female,,training_transfer,practice,p1,1,1,20,0,white,circle,,,Studerende,0,,,,,0,1,1,,,0,1554807626275,0,,,no,0
canadagaas,female,,training_transfer,practice,p1,1,1,21,6,white,circle,,,Studerende,0,,,,,0,1,1,,,0,1554807628858,0,,,no,0
canadagaas,female,,training_transfer,practice,p1,1,1,22,2,white,circle,,,Studerende,0,,,,,0,1,1,,,0,1554807631441,0,,,no,0
canadagaas,female,,training_transfer,practice,p1,1,1,23,5,white,circle,,,Studerende,0,,,,,0,1,1,,,0,1554807634024,0,,,no,0
canadagaas,female,,training_transfer,practice,p1,1,1,24,8,white,circle,,,Studerende,0,,,,,0,1,1,,,0,1554807636611,0,,,no,0
canadagaas,female,,training_transfer,practice,p1,1,1,25,6,white,circle,,,Studerende,0,,,,,0,1,1,,,0,1554807639194,0,,,no,0
canadagaas,female,,training_transfer,practice,p1,1,1,26,0,white,circle,,,Studerende,0,,,,,0,1,1,,,0,1554807641777,0,,,no,0
canadagaas,female,,training_transfer,practice,p1,1,1,27,2,white,circle,,,Studerende,0,,,,,0,1,1,,,0,1554807644361,0,,,no,0
canadagaas,female,,training_transfer,practice,p1,1,1,28,2,white,circle,,,Studerende,0,,,,,1,1,1,,,0,1554807646961,1,,,no,0
canadagaas,female,,training_transfer,practice,p1,1,1,29,1,white,circle,,,Studerende,0,,,,,0,1,1,,,0,1554807649545,0,,,no,0
canadagaas,female,,training_transfer,practice,p1,1,1,30,1,white,circle,,,Studerende,0,,,,,1,1,1,,,0,1554807652143,1,,,no,0
canadagaas,female,,training_transfer,practice,p1,1,1,31,1,white,circle,,,Studerende,0,,,,,1,1,1,,,0,1554807654729,1,,,no,0
canadagaas,female,,training_transfer,practice,f2,1,2,1,4,white,star,,,Studerende,0,,,,0,,,0,,,0,1554807662828,,0,1,no,1
canadagaas,female,,training_transfer,practice,f2,1,2,2,4,white,circle,,,Studerende,0,,,,0,,,0,,,0,1554807665412,,0,1,no,1
canadagaas,female,,training_transfer,practice,f2,1,2,3,4,white,circle,,,Studerende,0,,,,1,,,0,,,0,1554807668012,,0,0,no,1
canadagaas,female,,training_transfer,practice,f2,1,2,4,4,white,circle,,,Studerende,0,,,,1,,,0,,,0,1554807670607,,1,1,no,1
canadagaas,female,,training_transfer,practice,f2,1,2,5,4,white,triangle,,,Studerende,0,,,,0,,,0,,,0,1554807673179,,0,1,no,1
canadagaas,female,,training_transfer,practice,f2,1,2,6,4,white,triangle,,,Studerende,0,,,,0,,,0,,,0,1554807675748,,0,1,no,1
canadagaas,female,,training_transfer,practice,f2,1,2,7,4,white,square,,,Studerende,0,,,,0,,,0,,,0,1554807678331,,0,1,no,1
canadagaas,female,,training_transfer,practice,f2,1,2,8,4,white,circle,,,Studerende,0,,,,0,,,0,,,0,1554807680914,,0,1,no,1
canadagaas,female,,training_transfer,practice,f2,1,2,9,4,white,star,,,Studerende,0,,,,0,,,0,,,0,1554807683480,,0,1,no,1
canadagaas,female,,training_transfer,practice,f2,1,2,10,4,white,square,,,Studerende,0,,,,1,,,0,,,0,1554807686076,,0,0,no,1
canadagaas,female,,training_transfer,practice,f2,1,2,11,4,white,star,,,Studerende,0,,,,0,,,0,,,0,1554807688647,,1,0,no,1
canadagaas,female,,training_transfer,practice,f2,1,2,12,4,white,star,,,Studerende,0,,,,1,,,0,,,0,1554807691244,,0,0,no,1
canadagaas,female,,training_transfer,practice,f2,1,2,13,4,white,triangle,,,Studerende,0,,,,0,,,0,,,0,1554807693817,,0,1,no,1
canadagaas,female,,training_transfer,practice,f2,1,2,14,4,white,star,,,Studerende,0,,,,1,,,0,,,0,1554807696415,,1,1,no,1
canadagaas,female,,training_transfer,practice,f2,1,2,15,4,white,triangle,,,Studerende,0,,,,1,,,0,,,0,1554807699015,,1,1,no,1
canadagaas,female,,training_transfer,practice,f2,1,2,16,4,white,triangle,,,Studerende,0,,,,0,,,0,,,0,1554807701584,,0,1,no,1
canadagaas,female,,training_transfer,practice,f2,1,2,17,4,white,square,,,Studerende,0,,,,0,,,0,,,0,1554807704167,,0,1,no,1
canadagaas,female,,training_transfer,practice,f2,1,2,18,4,white,triangle,,,Studerende,0,,,,1,,,0,,,0,1554807706751,,1,1,no,1
canadagaas,female,,training_transfer,practice,f2,1,2,19,4,white,triangle,,,Studerende,0,,,,0,,,0,,,0,1554807709334,,0,1,no,1
canadagaas,female,,training_transfer,practice,f2,1,2,20,4,white,square,,,Studerende,0,,,,1,,,0,,,0,1554807711929,,0,0,no,1
